<decompiled>:16: SyntaxWarning: "is" with a literal. Did you mean "=="?
D:/Temp/r52gate/build_c52ab/fly__oauthenticator__hsidOK.py:19: SyntaxWarning: "is" with a literal. Did you mean "=="?
  if hsid_login_url is '':
c52ab __init__.pyc                 2/2  []  
c52ab __init__.pyc                 1/1  []  
c52ab const.pyc                    1/1  []  
c52ab generalconf.pyc              11/11  []  
c52ab __init__.pyc                 1/1  []  
c52ab trade_schedule.pyc           6/6  []  
c52ab fileio_utils.pyc             12/14  [['acquire', 96, 93, 3, 52], ['write', 637, 637, 4, 519]]  
c52ab trade_info_utils.pyc         38/40  [['get_trade_list', 339, 323, 14, 148], ['trade_operation', 304, 302, 2, 40]]  
c52ab api_extra.pyc                4/4  []  
c52ab data_cache.pyc               20/20  []  
c52ab default_real_quote.pyc       11/11  []  
c52ab entry.pyc                    5/5  []  
c52ab ibrain_client.pyc            6/6  []  
c52ab api_basicdata.pyc            25/25  []  
c52ab db_utils.pyc                 4/4  []  
c52ab api.pyc                      33/33  []  
c52ab history_bar_storage.pyc      5/5  []  
c52ab __init__.pyc                 6/6  []  
c52ab base_http_client.pyc         7/7  []  
c52ab mysql_conn.pyc               6/6  []  
c52ab base_account.pyc             12/12  []  
c52ab helper.pyc                   4/4  []  
c52ab data_pager.pyc               9/9  []  
c52ab persist_helper.pyc           9/9  []  
c52ab __init__.pyc                 1/1  []  
c52ab interface.pyc                105/105  []  
c52ab __init__.pyc                 1/1  []  
c52ab real_api.pyc                 8/8  []  
c52ab get_stock_status.pyc         8/8  []  
c52ab __init__.pyc                 1/1  []  
c52ab api_future.pyc               8/8  []  
c52ab option_position.pyc          60/60  []  
c52ab api.pyc                      5/5  []  
c52ab json_persistance.pyc         7/7  []  
c52ab cash_validator.pyc           8/8  []  
c52ab brokerFactory.pyc            3/3  []  
c52ab __init__.pyc                 6/6  []  
c52ab decorator.pyc                3/3  []  
c52ab pycompatibility.pyc          6/6  []  
c52ab common.pyc                   6/6  []  
c52ab flytools.pyc                 65/65  []  
c52ab op_station.pyc               11/11  []  
c52ab dockerspawner.pyc            25/25  []  
c52ab g.pyc                        1/1  []  
c52ab flyAccount.pyc               21/23  [['_do_request', 436, 429, 2, 379], ['init_connection', 42, 41, 0, 25]]  
c52ab gtn_api.pyc                  5/5  []  
c52ab __init__.pyc                 1/1  []  
c52ab local_finance.pyc            19/19  []  
c52ab handlers.pyc                 18/18  []  
c52ab jq_trans_module.pyc          35/35  []  
c52ab crypto_utils.pyc             9/9  []  
c52ab request_utils.pyc            4/4  []  
c52ab utils.pyc                    22/22  []  
c52ab config.pyc                   4/4  []  
c52ab base_storage.pyc             5/5  []  
c52ab merger_storage.pyc           9/9  []  
c52ab __init__.pyc                 1/1  []  
c52ab __init__.pyc                 6/6  []  
c52ab client_db.pyc                9/9  []  
c52ab api_db.pyc                   8/8  []  
c52ab fly_enum.pyc                 1/1  []  
c52ab api.pyc                      4/4  []  
c52ab __init__.pyc                 6/6  []  
c52ab exception.pyc                29/29  []  
c52ab trade_schedule.pyc           4/4  []  
c52ab trade.pyc                    23/23  []  
c52ab __init__.pyc                 1/1  []  
c52ab event.pyc                    10/10  []  
c52ab strategy.pyc                 19/19  []  
c52ab default_info.pyc             1/1  []  
c52ab base_api.pyc                 6/6  []  
c52ab individual_api_trade.pyc     4/4  []  
c52ab setting_api.pyc              15/15  []  
c52ab __init__.pyc                 7/7  []  
c52ab live_hks_account.pyc         21/21  []  
c52ab future_position.pyc          72/72  []  
c52ab __init__.pyc                 6/6  []  
c52ab __init__.pyc                 10/10  []  
c52ab __init__.pyc                 32/35  [['_on_publish_after_trading_end', 486, 481, 3, 33], ['_save_testds_to_csv', 71, 68, 7, 19], ['get_TradeMode_trades', 1839, 1753, 4, 1620]]  
c52ab __init__.pyc                 6/6  []  
c52ab ptrade_future_broker.pyc     10/10  []  
c52ab arg_checker.pyc              43/43  []  
c52ab i18n.pyc                     5/5  []  
c52ab trade_schedule.pyc           9/9  []  
c52ab enums.pyc                    4/4  []  
c52ab global_param.pyc             10/10  []  
c52ab __init__.pyc                 1/1  []  
c52ab __init__.pyc                 1/1  []  
c52ab hsid.pyc                     4/4  []  
c52ab ptradeOptionAccount.pyc      38/38  []  
c52ab backtest.pyc                 2/2  []  
c52ab basic_data_source.pyc        8/8  []  
c52ab exception.pyc                32/32  []  
c52ab profiler_func.pyc            14/14  []  
c52ab tools.pyc                    6/6  []  
c52ab file_delete.pyc              4/4  []  
c52ab t2_utils.pyc                 2/2  []  
c52ab api_base.pyc                 23/25  [['get_future_history_df', 973, 957, 3, 229], ['get_history_df', 1742, 1719, 14, 1277]]  
c52ab base.pyc                     4/4  []  
c52ab default_history_quote.pyc    4/4  []  
c52ab engine.pyc                   34/34  []  
c52ab gtn_client.pyc               11/11  []  
c52ab __init__.pyc                 1/1  []  
c52ab api_db.pyc                   2/2  []  
c52ab __init__.pyc                 6/6  []  
c52ab enumerate.pyc                4/4  []  
c52ab hqsdk_data_source_api.pyc    9/9  []  
c52ab arg_checker.pyc              39/39  []  
c52ab logger.pyc                   26/26  []  
c52ab __init__.pyc                 1/1  []  
c52ab fields.pyc                   1/1  []  
c52ab commission.pyc               10/10  []  
c52ab __init__.pyc                 1/1  []  
c52ab user_variables.pyc           6/6  []  
c52ab trading_dates_storage.pyc    4/4  []  
c52ab const.pyc                    9/9  []  
c52ab other_api.pyc                12/12  []  
c52ab __init__.pyc                 1/1  []  
c52ab __init__.pyc                 6/6  []  
c52ab __init__.pyc                 1/1  []  
c52ab live_stock_position.pyc      12/12  []  
c52ab __init__.pyc                 6/6  []  
c52ab __init__.pyc                 15/15  []  
c52ab base_validator.pyc           6/6  []  
c52ab api.pyc                      57/57  []  
c52ab trade_live_broker.pyc        105/119  [['_process_cancel_order', 293, 292, 16, 43], ['_process_order', 454, 396, 9, 349], ['_sync_worker', 349, 323, 1, 286], ['_trade_status_handle', 114, 112, 0, 107], ['after_trading_cancel_order', 155, 155, 3, 122], ['etf_basket_order', 693, 693, 11, 216], ['etf_purchase_redemption', 377, 355, 2, 100], ['fund_transfer', 123, 88, 1, 57], ['get_all_orders', 79, 78, 2, 24], ['get_etf_stock_info', 144, 117, 1, 139], ['get_max_amount', 201, 213, 2, 18], ['get_trades', 215, 216, 10, 19], ['ipo_stocks_order', 1075, 1076, 10, 437], ['market_fund_transfer', 94, 67, 1, 41]]  
c52ab datetime_func.pyc            17/17  []  
c52ab profiler_func.pyc            15/15  []  
c52ab aes_encrypt.pyc              7/7  []  
c52ab flyqueue.pyc                 7/7  []  
c52ab multiprocess_syn.pyc         35/35  []  
c52ab __init__.pyc                 1/1  []  
c52ab event_type.pyc               5/5  []  
c52ab accountFactory.pyc           3/3  []  
c52ab r2_01_set_trade_status_collapse.pyc 3/3  []  
c52ab r2_07_with_lock_dropped.pyc  7/8  [['trade_operation', 63, 32, 2, 39]]  
c52ab r27a_01_elif_head_after_raise.pyc 4/4  []  
c52ab r3_02_fstring_log_dropped.pyc 3/3  []  
c52ab r3_05_converge_return_misattrib.pyc 2/2  []  
c52ab r4_01_boolop_merge_swallows_following_stmts.pyc 2/2  []  
c52ab r4_05_boolop_merge_inside_try.pyc 2/2  []  
c52ab r35_04_control_depth2_fallout.pyc 2/2  []  
c52ab r36_05_control_for_else_break_target_differs.pyc 2/2  []  
c52ab r37_control_plain_or_arms.pyc 3/3  []  
c52ab r39w_witness.pyc             2/2  []  
c52ab r2_04_return_in_loop_finally.pyc 2/2  []  
c52ab r2_08_loop_tail_branches.pyc 8/8  []  
c52ab r3_02b_fstring_conv_probe.pyc 8/8  []  
c52ab r3_04_loop_branch_continue_lost.pyc 3/3  []  
c52ab r3_10_try_except_block_scramble.pyc 2/2  []  
c52ab r4_06_continue_after_nested_for_dropped.pyc 2/2  []  
c52ab r35_01_witness_dup_epilogue_fallthrough.pyc 2/2  []  
c52ab r36_02_witness_exit_is_call_with_default.pyc 2/2  []  
c52ab r37_control_nested_chain_in_first_arm.pyc 3/3  []  
c52ab r37_witness_or_arm_with_else_sibling.pyc 3/3  []  
c52ab r2_01_set_trade_status_collapse_dec_dec.pyc 3/3  []  
c52ab r2_04_return_in_loop_finally_dec_dec.pyc 1/2  [['get_user_info', 119, 129, 4, 83]]  
c52ab r2_07_with_lock_dropped_dec_dec.pyc 8/8  []  
c52ab r2_10_except_tail_loop_cond_dec_dec.pyc 2/2  []  
c52ab r31a_witness.pyc             3/4  [['w_c_handler_nested_raise_deep', 64, 63, 2, 51]]  
c52ab r2_01_set_trade_status_collapse_dec_dec_dec.pyc 3/3  []  
c52ab r2_03_finally_is_not_none_dec.pyc 3/3  []  
c52ab r2_04_return_in_loop_finally_dec_dec_dec.pyc 1/2  [['get_user_info', 152, 169, 7, 112]]  
c52ab r2_06_subscript_chain_truncate_dec.pyc 2/2  []  
c52ab r2_07_with_lock_dropped_dec_dec_dec.pyc 8/8  []  
c52ab r2_09_bool_cond_invert_dec.pyc 1/2  [['create_user_code', 102, 102, 2, 32]]  
c52ab r2_10_except_tail_loop_cond_dec_dec_dec.pyc 2/2  []  
c52ab r3_01_fstring_log_mangled_dec.pyc 6/7  [['get_price', 54, 51, 0, 52]]  
c52ab r3_02b_fstring_conv_probe_dec.pyc 8/8  []  
c52ab r3_03c_while_body_probe_dec.pyc 4/4  []  
c52ab r3_05_converge_return_misattrib_dec.pyc 2/2  []  
c52ab r3_08_and_chain_nested_continue_dec.pyc 2/2  []  
c52ab r3_11_implicit_return_shift_dec.pyc 3/3  []  
c52ab r4_01_boolop_merge_swallows_following_stmts_dec.pyc 2/2  []  
c52ab r4_05_boolop_merge_inside_try_dec.pyc 2/2  []  
c52ab r30c_witness.pyc             6/6  []  
c52ab r41c_controls.pyc            7/7  []  
c52ab r41w_witness.pyc             4/4  []  
c52ab nc3_and_chain.pyc            2/2  []  
c52ab w1_orchain_guard.pyc         1/2  [['w1', 41, 33, 1, 34]]  
c52ab nc_controls.pyc              7/7  []  
c52ab r43d_02_compound_cond_control.pyc 1/3  [['r43d_02_while_and_after_guard', 29, 19, 2, 11], ['r43d_03_while_or_after_guard', 33, 17, 1, 17]]  
