<decompiled>:16: SyntaxWarning: "is" with a literal. Did you mean "=="?
D:/Temp/r52gate/build_c52b/fly__oauthenticator__hsidOK.py:19: SyntaxWarning: "is" with a literal. Did you mean "=="?
  if hsid_login_url is '':
c52b __init__.pyc                 2/2  []  
c52b __init__.pyc                 1/1  []  
c52b const.pyc                    1/1  []  
c52b generalconf.pyc              11/11  []  
c52b __init__.pyc                 1/1  []  
c52b trade_schedule.pyc           6/6  []  
c52b fileio_utils.pyc             12/14  [['acquire', 96, 93, 3, 52], ['write', 637, 637, 4, 519]]  
c52b trade_info_utils.pyc         38/40  [['get_trade_list', 339, 323, 14, 148], ['trade_operation', 304, 302, 2, 40]]  
c52b api_extra.pyc                4/4  []  
c52b data_cache.pyc               20/20  []  
c52b default_real_quote.pyc       11/11  []  
c52b entry.pyc                    5/5  []  
c52b ibrain_client.pyc            6/6  []  
c52b api_basicdata.pyc            25/25  []  
c52b db_utils.pyc                 4/4  []  
c52b api.pyc                      33/33  []  
c52b history_bar_storage.pyc      5/5  []  
c52b __init__.pyc                 6/6  []  
c52b base_http_client.pyc         7/7  []  
c52b mysql_conn.pyc               6/6  []  
c52b base_account.pyc             12/12  []  
c52b helper.pyc                   4/4  []  
c52b data_pager.pyc               9/9  []  
c52b persist_helper.pyc           9/9  []  
c52b __init__.pyc                 1/1  []  
c52b interface.pyc                105/105  []  
c52b __init__.pyc                 1/1  []  
c52b real_api.pyc                 8/8  []  
c52b get_stock_status.pyc         8/8  []  
c52b __init__.pyc                 1/1  []  
c52b api_future.pyc               8/8  []  
c52b option_position.pyc          60/60  []  
c52b api.pyc                      5/5  []  
c52b json_persistance.pyc         7/7  []  
c52b cash_validator.pyc           8/8  []  
c52b brokerFactory.pyc            3/3  []  
c52b __init__.pyc                 6/6  []  
c52b decorator.pyc                3/3  []  
c52b pycompatibility.pyc          6/6  []  
c52b common.pyc                   6/6  []  
c52b flytools.pyc                 65/65  []  
c52b op_station.pyc               11/11  []  
c52b dockerspawner.pyc            25/25  []  
c52b g.pyc                        1/1  []  
c52b flyAccount.pyc               21/23  [['_do_request', 436, 429, 2, 379], ['init_connection', 42, 41, 0, 25]]  
c52b gtn_api.pyc                  5/5  []  
c52b __init__.pyc                 1/1  []  
c52b local_finance.pyc            19/19  []  
c52b handlers.pyc                 18/18  []  
c52b jq_trans_module.pyc          35/35  []  
c52b crypto_utils.pyc             9/9  []  
c52b request_utils.pyc            4/4  []  
c52b utils.pyc                    22/22  []  
c52b config.pyc                   4/4  []  
c52b base_storage.pyc             5/5  []  
c52b merger_storage.pyc           9/9  []  
c52b __init__.pyc                 1/1  []  
c52b __init__.pyc                 6/6  []  
c52b client_db.pyc                9/9  []  
c52b api_db.pyc                   8/8  []  
c52b fly_enum.pyc                 1/1  []  
c52b api.pyc                      4/4  []  
c52b __init__.pyc                 6/6  []  
c52b exception.pyc                29/29  []  
c52b trade_schedule.pyc           4/4  []  
c52b trade.pyc                    23/23  []  
c52b __init__.pyc                 1/1  []  
c52b event.pyc                    10/10  []  
c52b strategy.pyc                 19/19  []  
c52b default_info.pyc             1/1  []  
c52b base_api.pyc                 6/6  []  
c52b individual_api_trade.pyc     4/4  []  
c52b setting_api.pyc              15/15  []  
c52b __init__.pyc                 7/7  []  
c52b live_hks_account.pyc         21/21  []  
c52b future_position.pyc          72/72  []  
c52b __init__.pyc                 6/6  []  
c52b __init__.pyc                 10/10  []  
c52b __init__.pyc                 32/35  [['_on_publish_after_trading_end', 486, 481, 3, 33], ['_save_testds_to_csv', 71, 68, 7, 19], ['get_TradeMode_trades', 1839, 1753, 4, 1620]]  
c52b __init__.pyc                 6/6  []  
c52b ptrade_future_broker.pyc     10/10  []  
c52b arg_checker.pyc              43/43  []  
c52b i18n.pyc                     5/5  []  
c52b trade_schedule.pyc           9/9  []  
c52b enums.pyc                    4/4  []  
c52b global_param.pyc             10/10  []  
c52b __init__.pyc                 1/1  []  
c52b __init__.pyc                 1/1  []  
c52b hsid.pyc                     4/4  []  
c52b ptradeOptionAccount.pyc      38/38  []  
c52b backtest.pyc                 2/2  []  
c52b basic_data_source.pyc        8/8  []  
c52b exception.pyc                32/32  []  
c52b profiler_func.pyc            14/14  []  
c52b tools.pyc                    6/6  []  
c52b file_delete.pyc              4/4  []  
c52b t2_utils.pyc                 2/2  []  
c52b api_base.pyc                 23/25  [['get_future_history_df', 973, 957, 3, 229], ['get_history_df', 1742, 1719, 14, 1277]]  
c52b base.pyc                     4/4  []  
c52b default_history_quote.pyc    4/4  []  
c52b engine.pyc                   34/34  []  
c52b gtn_client.pyc               11/11  []  
c52b __init__.pyc                 1/1  []  
c52b api_db.pyc                   2/2  []  
c52b __init__.pyc                 6/6  []  
c52b enumerate.pyc                4/4  []  
c52b hqsdk_data_source_api.pyc    9/9  []  
c52b arg_checker.pyc              39/39  []  
c52b logger.pyc                   26/26  []  
c52b __init__.pyc                 1/1  []  
c52b fields.pyc                   1/1  []  
c52b commission.pyc               10/10  []  
c52b __init__.pyc                 1/1  []  
c52b user_variables.pyc           6/6  []  
c52b trading_dates_storage.pyc    4/4  []  
