G7 synthetic witness battery (28 pycs, landed -> m69)
======================================================================
test_repros/round68_diag1/e1.pyc                 3/4   bad=1 ->   4/4   bad=0  IMPROVED
test_repros/round68_diag1/m2_r68.pyc            17/17  bad=0 ->  17/17  bad=0  SAME
test_repros/round68_diag1/m_r68.pyc             17/18  bad=1 ->  17/18  bad=1  SAME
test_repros/round68_diag1/s_r68.pyc              8/11  bad=3 ->   8/11  bad=3  SAME
test_repros/round68_diag1/xp_atco.pyc            6/7   bad=1 ->   6/7   bad=1  SAME
test_repros/round68_diag1/xp_atco2.pyc           6/8   bad=2 ->   6/8   bad=2  SAME
test_repros/round68_diag3/r68_big_sinkreturn.pyc   1/3   bad=2 ->   1/3   bad=2  SAME
test_repros/round68_diag3/r68_sink_continue.pyc   2/2   bad=0 ->   2/2   bad=0  SAME
test_repros/round68_diag3/r68_sink_return.pyc    2/2   bad=0 ->   2/2   bad=0  SAME
test_repros/round68_diag3/r68_sink_tailreturn.pyc   4/4   bad=0 ->   4/4   bad=0  SAME
test_repros/round68_diag3/r68b2_cell_tuple.pyc   3/3   bad=0 ->   3/3   bad=0  SAME
test_repros/round68_diag3/r68b2_cell_tuple_body.pyc   3/3   bad=0 ->   3/3   bad=0  SAME
test_repros/round68_diag4/r68b3_headif.pyc       4/7   bad=3 ->   4/7   bad=3  SAME
test_repros/round68_diag4/r68d4_orchain.pyc      3/3   bad=0 ->   3/3   bad=0  SAME
test_repros/round68_diag4/r68d4_s2.pyc           7/7   bad=0 ->   7/7   bad=0  SAME
test_repros/round68_diag4/r68d4_s3.pyc           5/5   bad=0 ->   5/5   bad=0  SAME
test_repros/round68_diag5/r68b4_apib_inc1.pyc    2/2   bad=0 ->   2/2   bad=0  SAME
test_repros/round68_diag5/r68b4_apib_inc2.pyc    2/2   bad=0 ->   2/2   bad=0  SAME
test_repros/round68_diag5/r68b4_apib_inc3.pyc    2/2   bad=0 ->   2/2   bad=0  SAME
test_repros/round68_diag5/r68b4_apib_inc4.pyc    2/2   bad=0 ->   2/2   bad=0  SAME
test_repros/round68_diag5/r68b4_apib_inc5.pyc    2/2   bad=0 ->   2/2   bad=0  SAME
test_repros/round68_diag5/r68b4_apib_inc6.pyc    1/2   bad=1 ->   1/2   bad=1  SAME
test_repros/round68_diag5/r68b4_apib_inc7.pyc    2/2   bad=0 ->   2/2   bad=0  SAME
test_repros/round68_diag5/r68d5_trymerge.pyc     2/2   bad=0 ->   2/2   bad=0  SAME
test_repros/round68_diag6/r68d6_handler_return.pyc   4/4   bad=0 ->   4/4   bad=0  SAME
test_repros/round68_diag6/r68d6_handler_return2.pyc   3/3   bad=0 ->   3/3   bad=0  SAME
test_repros/round68_diag6/r68d6_tuple_ternary.pyc   4/4   bad=0 ->   4/4   bad=0  SAME
test_repros/round68_diag6/r68d6_tuple_ternary2.pyc   3/3   bad=0 ->   3/3   bad=0  SAME

TALLY ERR=0 IMPROVED=1 REGRESSED=0 SAME=27  ERR=0  PASS
