Bytecode: MATCH=0, MISMATCH=0, ERROR=127, Total=127
Bytecode match rate: 0/127 = 0%

Errors (127):
  test_b01_simple_assign.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_b01_simple_assign.pyc
  test_b02_aug_assign.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_b02_aug_assign.pyc
  test_b03_multi_assign.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_b03_multi_assign.pyc
  test_b04_tuple_unpack.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_b04_tuple_unpack.pyc
  test_b05_expr_stmt.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_b05_expr_stmt.pyc
  test_b06_return.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_b06_return.pyc
  test_b07_return_none.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_b07_return_none.pyc
  test_b08_pass.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_b08_pass.pyc
  test_c01_if_elif_else.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_c01_if_elif_else.pyc
  test_c02_if_then.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_c02_if_then.pyc
  test_c03_if_else.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_c03_if_else.pyc
  test_c04_nested_if.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_c04_nested_if.pyc
  test_e01_try_except.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_e01_try_except.pyc
  test_e02_multi_except.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_e02_multi_except.pyc
  test_e03_try_else_finally.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_e03_try_else_finally.pyc
  test_e04_try_finally.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_e04_try_finally.pyc
  test_e05_try_except_finally.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_e05_try_except_finally.pyc
  test_e06_full_combination.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_e06_full_combination.pyc
  test_e07_except_as.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_e07_except_as.pyc
  test_e08_bare_except.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_e08_bare_except.pyc
  test_e09_nested_try.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_e09_nested_try.pyc
  test_e10_try_with_loop.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_e10_try_with_loop.pyc
  test_e11_loop_with_try.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_e11_loop_with_try.pyc
  test_e12_try_with_if.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_e12_try_with_if.pyc
  test_e13_if_with_try.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_e13_if_with_try.pyc
  test_l01_for_break.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_l01_for_break.pyc
  test_l02_for_continue.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_l02_for_continue.pyc
  test_l03_for_else.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_l03_for_else.pyc
  test_l04_while_break.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_l04_while_break.pyc
  test_l05_while_continue.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_l05_while_continue.pyc
  test_l06_for.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_l06_for.pyc
  test_l07_while.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_l07_while.pyc
  test_l08_while_else.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_l08_while_else.pyc
  test_l09_for_break_else.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_l09_for_break_else.pyc
  test_l10_while_break_else.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_l10_while_break_else.pyc
  test_l11_for_break_continue.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_l11_for_break_continue.pyc
  test_l12_while_break_continue.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_l12_while_break_continue.pyc
  test_l13_nested_for.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_l13_nested_for.pyc
  test_l14_nested_while.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_l14_nested_while.pyc
  test_l15_nested_for_break.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_l15_nested_for_break.pyc
  test_l16_nested_for_continue.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_l16_nested_for_continue.pyc
  test_l17_for_with_while.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_l17_for_with_while.pyc
  test_l18_while_with_for.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_l18_while_with_for.pyc
  test_n10_try_for_break.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_n10_try_for_break.pyc
  test_n11_try_while_continue.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_n11_try_while_continue.pyc
  test_n12_for_try_except.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_n12_for_try_except.pyc
  test_n13_while_try_except.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_n13_while_try_except.pyc
  test_n14_for_for_if_break.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_n14_for_for_if_break.pyc
  test_n15_while_if_while_break.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_n15_while_if_while_break.pyc
  test_n16_for_if_try_except.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_n16_for_if_try_except.pyc
  test_n17_if_for_break.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_n17_if_for_break.pyc
  test_n18_if_while_break.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_n18_if_while_break.pyc
  test_r1_bool_and_assign.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_bool_and_assign.pyc
  test_r1_bool_or_assign.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_bool_or_assign.pyc
  test_r1_chained_compare.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_chained_compare.pyc
  test_r1_except_as_var.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_except_as_var.pyc
  test_r1_for_if_for_break.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_for_if_for_break.pyc
  test_r1_for_if_try_except.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_for_if_try_except.pyc
  test_r1_for_nested_try_break.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_for_nested_try_break.pyc
  test_r1_for_try_except.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_for_try_except.pyc
  test_r1_if_for_break.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_if_for_break.pyc
  test_r1_if_not_condition.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_if_not_condition.pyc
  test_r1_if_try_except.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_if_try_except.pyc
  test_r1_if_while_break.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_if_while_break.pyc
  test_r1_multi_except_chain.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_multi_except_chain.pyc
  test_r1_multi_with.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_multi_with.pyc
  test_r1_nested_try_except.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_nested_try_except.pyc
  test_r1_nested_while_if_break.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_nested_while_if_break.pyc
  test_r1_nested_with.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_nested_with.pyc
  test_r1_pass_only.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_pass_only.pyc
  test_r1_return_none_implicit.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_return_none_implicit.pyc
  test_r1_ternary_assign.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_ternary_assign.pyc
  test_r1_try_except_else_finally.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_try_except_else_finally.pyc
  test_r1_try_except_finally.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_try_except_finally.pyc
  test_r1_try_for_break.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_try_for_break.pyc
  test_r1_try_while_continue.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_try_while_continue.pyc
  test_r1_try_with.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_try_with.pyc
  test_r1_while_and_condition.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_while_and_condition.pyc
  test_r1_while_break_continue.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_while_break_continue.pyc
  test_r1_while_break_else.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_while_break_else.pyc
  test_r1_while_break_simple.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_while_break_simple.pyc
  test_r1_while_if_while_break.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_while_if_while_break.pyc
  test_r1_while_nested_try_break.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_while_nested_try_break.pyc
  test_r1_while_try_except.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_while_try_except.pyc
  test_r1_with_as.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_with_as.pyc
  test_r1_with_no_as.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_with_no_as.pyc
  test_r1_with_try.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r1_with_try.pyc
  test_r2q_01_boolop_and_return.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_01_boolop_and_return.pyc
  test_r2q_02_boolop_or_assign.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_02_boolop_or_assign.pyc
  test_r2q_03_ternary_in_return.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_03_ternary_in_return.pyc
  test_r2q_04_ternary_in_dict.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_04_ternary_in_dict.pyc
  test_r2q_05_chained_compare_len.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_05_chained_compare_len.pyc
  test_r2q_06_chained_compare_num.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_06_chained_compare_num.pyc
  test_r2q_07_assert_with_msg.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_07_assert_with_msg.pyc
  test_r2q_08_assert_chain.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_08_assert_chain.pyc
  test_r2q_09_ternary_assign.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_09_ternary_assign.pyc
  test_r2q_10_with_open_read.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_10_with_open_read.pyc
  test_r2q_11_const_key_map.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_11_const_key_map.pyc
  test_r2q_12_if_not_none.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_12_if_not_none.pyc
  test_r2q_13_chained_get.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_13_chained_get.pyc
  test_r2q_14_pass_only.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_14_pass_only.pyc
  test_r2q_15_explicit_return_none.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_15_explicit_return_none.pyc
  test_r2q_16_implicit_return_none.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_16_implicit_return_none.pyc
  test_r2q_17_for_if_append.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_17_for_if_append.pyc
  test_r2q_18_check_suffix.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_18_check_suffix.pyc
  test_r2q_19_mod_string_format.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_19_mod_string_format.pyc
  test_r2q_20_list_comprehension.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_20_list_comprehension.pyc
  test_r2q_21_if_elif_else_chain.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_21_if_elif_else_chain.pyc
  test_r2q_22_try_except_finally.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_22_try_except_finally.pyc
  test_r2q_23_multi_except.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_23_multi_except.pyc
  test_r2q_24_for_break_continue.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_24_for_break_continue.pyc
  test_r2q_25_full_check_stock.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_25_full_check_stock.pyc
  test_r2q_26_get_quote_pattern.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_26_get_quote_pattern.pyc
  test_r2q_27_get_real_pattern.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_27_get_real_pattern.pyc
  test_r2q_28_date_convert_pattern.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_28_date_convert_pattern.pyc
  test_r2q_29_lambda_datetime.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_29_lambda_datetime.pyc
  test_r2q_30_if_none_then_elif.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_30_if_none_then_elif.pyc
  test_r2q_31_elif_in_except.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_31_elif_in_except.pyc
  test_r2q_32_try_get_quote.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_32_try_get_quote.pyc
  test_r2q_33_try_except_nested.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_33_try_except_nested.pyc
  test_r2q_34_api_get_pattern.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_r2q_34_api_get_pattern.pyc
  test_w01_with.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_w01_with.pyc
  test_w02_with_no_as.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_w02_with_no_as.pyc
  test_w03_multi_with.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_w03_multi_with.pyc
  test_w04_nested_with.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_w04_nested_with.pyc
  test_w05_with_with_try.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_w05_with_with_try.pyc
  test_w06_try_with_with.py: Failed to decompile F:\Downloads\pythoncdc-main\testqouter\round1\test_w06_try_with_with.pyc
